"TimeUTC","timestampInMs","requestPath","requestMethod","requestQueryString","responseStatusCode","requestId","requestUserAgent","level","environment","branch","vercelCache","type","function","host","deploymentDomain","deploymentId","durationMs","region","maxMemoryUsed","memorySize","message","projectId","traceId","sessionId","invocationId","instanceId","concurrency"
"2025-11-07 04:41:48",1762490508459,"mythos-wesite-7-11-2025-52bygah0u-michaels-projects-d2b4ed14.vercel.app/favicon.png","GET","",-1,"w6xh6-1762490508229-492108b73f6b","vercel-favicon/1.0","fatal","production","master","","lambda","/main","mythos-wesite-7-11-2025-52bygah0u-michaels-projects-d2b4ed14.vercel.app","mythos-wesite-7-11-2025-52bygah0u-michaels-projects-d2b4ed14.vercel.app","dpl_H9z4Ld1A3jBFGzeVLHaqb23gA2mh",-1,"iad1",-1,-1,"Python process exited with exit status: 1. The logs above can help with debugging the issue.","prj_JPcyf4eUk5AfYV2KYipClkdSpxqO","","","01K9E9XRZE7ZJ5C3AGQPNDERX1","",-1
"2025-11-07 04:41:48",1762490508270,"mythos-wesite-7-11-2025-52bygah0u-michaels-projects-d2b4ed14.vercel.app/favicon.png","GET","",500,"w6xh6-1762490508229-492108b73f6b","vercel-favicon/1.0","error","production","master","","lambda","/main","mythos-wesite-7-11-2025-52bygah0u-michaels-projects-d2b4ed14.vercel.app","mythos-wesite-7-11-2025-52bygah0u-michaels-projects-d2b4ed14.vercel.app","dpl_H9z4Ld1A3jBFGzeVLHaqb23gA2mh",171,"iad1",53,2048,"","prj_JPcyf4eUk5AfYV2KYipClkdSpxqO","","","01K9E9XRZE7ZJ5C3AGQPNDERX1","",1
"2025-11-07 04:41:46",1762490506128,"mythos-wesite-7-11-2025-52bygah0u-michaels-projects-d2b4ed14.vercel.app/favicon.png","GET","",-1,"l48vk-1762490505891-608602a15aa6","vercel-favicon/1.0","fatal","production","master","","lambda","/main","mythos-wesite-7-11-2025-52bygah0u-michaels-projects-d2b4ed14.vercel.app","mythos-wesite-7-11-2025-52bygah0u-michaels-projects-d2b4ed14.vercel.app","dpl_H9z4Ld1A3jBFGzeVLHaqb23gA2mh",-1,"iad1",-1,-1,"Python process exited with exit status: 1. The logs above can help with debugging the issue.","prj_JPcyf4eUk5AfYV2KYipClkdSpxqO","","","01K9E9XPPBTRAV5WCPBDGYXGC9","",-1
"2025-11-07 04:41:45",1762490505930,"mythos-wesite-7-11-2025-52bygah0u-michaels-projects-d2b4ed14.vercel.app/favicon.png","GET","",500,"l48vk-1762490505891-608602a15aa6","vercel-favicon/1.0","error","production","master","","lambda","/main","mythos-wesite-7-11-2025-52bygah0u-michaels-projects-d2b4ed14.vercel.app","mythos-wesite-7-11-2025-52bygah0u-michaels-projects-d2b4ed14.vercel.app","dpl_H9z4Ld1A3jBFGzeVLHaqb23gA2mh",181,"iad1",53,2048,"","prj_JPcyf4eUk5AfYV2KYipClkdSpxqO","","","01K9E9XPPBTRAV5WCPBDGYXGC9","",1
"2025-11-07 04:41:44",1762490504762,"mythos-wesite-7-11-2025-52bygah0u-michaels-projects-d2b4ed14.vercel.app/favicon.png","GET","",-1,"sqn9c-1762490504540-504aff372102","vercel-favicon/1.0","fatal","production","master","","lambda","/main","mythos-wesite-7-11-2025-52bygah0u-michaels-projects-d2b4ed14.vercel.app","mythos-wesite-7-11-2025-52bygah0u-michaels-projects-d2b4ed14.vercel.app","dpl_H9z4Ld1A3jBFGzeVLHaqb23gA2mh",-1,"iad1",-1,-1,"Python process exited with exit status: 1. The logs above can help with debugging the issue.","prj_JPcyf4eUk5AfYV2KYipClkdSpxqO","","","01K9E9XNC36GK0W32EZ78BVBBH","",-1
"2025-11-07 04:41:44",1762490504579,"mythos-wesite-7-11-2025-52bygah0u-michaels-projects-d2b4ed14.vercel.app/favicon.png","GET","",500,"sqn9c-1762490504540-504aff372102","vercel-favicon/1.0","error","production","master","","lambda","/main","mythos-wesite-7-11-2025-52bygah0u-michaels-projects-d2b4ed14.vercel.app","mythos-wesite-7-11-2025-52bygah0u-michaels-projects-d2b4ed14.vercel.app","dpl_H9z4Ld1A3jBFGzeVLHaqb23gA2mh",165,"iad1",53,2048,"","prj_JPcyf4eUk5AfYV2KYipClkdSpxqO","","","01K9E9XNC36GK0W32EZ78BVBBH","",1
"2025-11-07 04:41:44",1762490504486,"mythos-wesite-7-11-2025-52bygah0u-michaels-projects-d2b4ed14.vercel.app/favicon.ico","GET","",-1,"n4srn-1762490504260-f4478518d2fc","vercel-favicon/1.0","fatal","production","master","","lambda","/main","mythos-wesite-7-11-2025-52bygah0u-michaels-projects-d2b4ed14.vercel.app","mythos-wesite-7-11-2025-52bygah0u-michaels-projects-d2b4ed14.vercel.app","dpl_H9z4Ld1A3jBFGzeVLHaqb23gA2mh",-1,"iad1",-1,-1,"Python process exited with exit status: 1. The logs above can help with debugging the issue.","prj_JPcyf4eUk5AfYV2KYipClkdSpxqO","","","01K9E9XN3HWJG5PJ608N7N86JE","",-1
"2025-11-07 04:41:44",1762490504305,"mythos-wesite-7-11-2025-52bygah0u-michaels-projects-d2b4ed14.vercel.app/favicon.ico","GET","",500,"n4srn-1762490504260-f4478518d2fc","vercel-favicon/1.0","error","production","master","","lambda","/main","mythos-wesite-7-11-2025-52bygah0u-michaels-projects-d2b4ed14.vercel.app","mythos-wesite-7-11-2025-52bygah0u-michaels-projects-d2b4ed14.vercel.app","dpl_H9z4Ld1A3jBFGzeVLHaqb23gA2mh",167,"iad1",53,2048,"","prj_JPcyf4eUk5AfYV2KYipClkdSpxqO","","","01K9E9XN3HWJG5PJ608N7N86JE","",1
"2025-11-07 04:41:42",1762490502122,"mythos-wesite-7-11-2025-52bygah0u-michaels-projects-d2b4ed14.vercel.app/favicon.ico","GET","",-1,"ntcfk-1762490501890-746ff6258f59","vercel-favicon/1.0","fatal","production","master","","lambda","/main","mythos-wesite-7-11-2025-52bygah0u-michaels-projects-d2b4ed14.vercel.app","mythos-wesite-7-11-2025-52bygah0u-michaels-projects-d2b4ed14.vercel.app","dpl_H9z4Ld1A3jBFGzeVLHaqb23gA2mh",-1,"iad1",-1,-1,"Python process exited with exit status: 1. The logs above can help with debugging the issue.","prj_JPcyf4eUk5AfYV2KYipClkdSpxqO","","","01K9E9XJSFZJA3K1Z2WJYQDCVF","",-1
"2025-11-07 04:41:41",1762490501935,"mythos-wesite-7-11-2025-52bygah0u-michaels-projects-d2b4ed14.vercel.app/favicon.ico","GET","",500,"ntcfk-1762490501890-746ff6258f59","vercel-favicon/1.0","error","production","master","","lambda","/main","mythos-wesite-7-11-2025-52bygah0u-michaels-projects-d2b4ed14.vercel.app","mythos-wesite-7-11-2025-52bygah0u-michaels-projects-d2b4ed14.vercel.app","dpl_H9z4Ld1A3jBFGzeVLHaqb23gA2mh",169,"iad1",53,2048,"","prj_JPcyf4eUk5AfYV2KYipClkdSpxqO","","","01K9E9XJSFZJA3K1Z2WJYQDCVF","",1
"2025-11-07 04:41:40",1762490500811,"mythos-wesite-7-11-2025-52bygah0u-michaels-projects-d2b4ed14.vercel.app/favicon.ico","GET","",-1,"vk725-1762490500572-51c6783b1c91","vercel-favicon/1.0","fatal","production","master","","lambda","/main","mythos-wesite-7-11-2025-52bygah0u-michaels-projects-d2b4ed14.vercel.app","mythos-wesite-7-11-2025-52bygah0u-michaels-projects-d2b4ed14.vercel.app","dpl_H9z4Ld1A3jBFGzeVLHaqb23gA2mh",-1,"iad1",-1,-1,"Python process exited with exit status: 1. The logs above can help with debugging the issue.","prj_JPcyf4eUk5AfYV2KYipClkdSpxqO","","","01K9E9XHG904P1SN9BZJDVKEKT","",-1
"2025-11-07 04:41:40",1762490500617,"mythos-wesite-7-11-2025-52bygah0u-michaels-projects-d2b4ed14.vercel.app/favicon.ico","GET","",500,"vk725-1762490500572-51c6783b1c91","vercel-favicon/1.0","error","production","master","","lambda","/main","mythos-wesite-7-11-2025-52bygah0u-michaels-projects-d2b4ed14.vercel.app","mythos-wesite-7-11-2025-52bygah0u-michaels-projects-d2b4ed14.vercel.app","dpl_H9z4Ld1A3jBFGzeVLHaqb23gA2mh",179,"iad1",53,2048,"","prj_JPcyf4eUk5AfYV2KYipClkdSpxqO","","","01K9E9XHG904P1SN9BZJDVKEKT","",1
"2025-11-07 04:41:40",1762490500439,"mythos-wesite-7-11-2025-52bygah0u-michaels-projects-d2b4ed14.vercel.app/","GET","",-1,"2hrsq-1762490500214-0c2ed70a1ea5","vercel-favicon/1.0","fatal","production","master","","lambda","/main","mythos-wesite-7-11-2025-52bygah0u-michaels-projects-d2b4ed14.vercel.app","mythos-wesite-7-11-2025-52bygah0u-michaels-projects-d2b4ed14.vercel.app","dpl_H9z4Ld1A3jBFGzeVLHaqb23gA2mh",-1,"iad1",-1,-1,"Python process exited with exit status: 1. The logs above can help with debugging the issue.","prj_JPcyf4eUk5AfYV2KYipClkdSpxqO","","","01K9E9XH4YF5EM2EYJRBAJ6VW8","",-1
"2025-11-07 04:41:40",1762490500254,"mythos-wesite-7-11-2025-52bygah0u-michaels-projects-d2b4ed14.vercel.app/","GET","",500,"2hrsq-1762490500214-0c2ed70a1ea5","vercel-favicon/1.0","error","production","master","","lambda","/main","mythos-wesite-7-11-2025-52bygah0u-michaels-projects-d2b4ed14.vercel.app","mythos-wesite-7-11-2025-52bygah0u-michaels-projects-d2b4ed14.vercel.app","dpl_H9z4Ld1A3jBFGzeVLHaqb23gA2mh",168,"iad1",53,2048,"","prj_JPcyf4eUk5AfYV2KYipClkdSpxqO","","","01K9E9XH4YF5EM2EYJRBAJ6VW8","",1
"2025-11-07 04:41:39",1762490499090,"mythos-wesite-7-11-2025-52bygah0u-michaels-projects-d2b4ed14.vercel.app/","GET","",-1,"f2nz2-1762490498864-7457bfa0d565","vercel-favicon/1.0","fatal","production","master","","lambda","/main","mythos-wesite-7-11-2025-52bygah0u-michaels-projects-d2b4ed14.vercel.app","mythos-wesite-7-11-2025-52bygah0u-michaels-projects-d2b4ed14.vercel.app","dpl_H9z4Ld1A3jBFGzeVLHaqb23gA2mh",-1,"iad1",-1,-1,"Python process exited with exit status: 1. The logs above can help with debugging the issue.","prj_JPcyf4eUk5AfYV2KYipClkdSpxqO","","","01K9E9XFTW2BXBZQW5V5GJ92A0","",-1
"2025-11-07 04:41:38",1762490498908,"mythos-wesite-7-11-2025-52bygah0u-michaels-projects-d2b4ed14.vercel.app/","GET","",500,"f2nz2-1762490498864-7457bfa0d565","vercel-favicon/1.0","error","production","master","","lambda","/main","mythos-wesite-7-11-2025-52bygah0u-michaels-projects-d2b4ed14.vercel.app","mythos-wesite-7-11-2025-52bygah0u-michaels-projects-d2b4ed14.vercel.app","dpl_H9z4Ld1A3jBFGzeVLHaqb23gA2mh",165,"iad1",53,2048,"","prj_JPcyf4eUk5AfYV2KYipClkdSpxqO","","","01K9E9XFTW2BXBZQW5V5GJ92A0","",1
"2025-11-07 04:40:56",1762490456016,"mythos-wesite-7-11-2025-52bygah0u-michaels-projects-d2b4ed14.vercel.app/favicon.ico","GET","",-1,"vwgvb-1762490455782-830e12604a23","vercel-screenshot/1.0","fatal","production","master","","lambda","/main","mythos-wesite-7-11-2025-52bygah0u-michaels-projects-d2b4ed14.vercel.app","mythos-wesite-7-11-2025-52bygah0u-michaels-projects-d2b4ed14.vercel.app","dpl_H9z4Ld1A3jBFGzeVLHaqb23gA2mh",-1,"iad1",-1,-1,"Python process exited with exit status: 1. The logs above can help with debugging the issue.","prj_JPcyf4eUk5AfYV2KYipClkdSpxqO","","","01K9E9W5REMXY0AAXNFFPBHBSQ","",-1
"2025-11-07 04:40:55",1762490455822,"mythos-wesite-7-11-2025-52bygah0u-michaels-projects-d2b4ed14.vercel.app/favicon.ico","GET","",500,"vwgvb-1762490455782-830e12604a23","vercel-screenshot/1.0","error","production","master","","lambda","/main","mythos-wesite-7-11-2025-52bygah0u-michaels-projects-d2b4ed14.vercel.app","mythos-wesite-7-11-2025-52bygah0u-michaels-projects-d2b4ed14.vercel.app","dpl_H9z4Ld1A3jBFGzeVLHaqb23gA2mh",174,"iad1",53,2048,"","prj_JPcyf4eUk5AfYV2KYipClkdSpxqO","","","01K9E9W5REMXY0AAXNFFPBHBSQ","",1
"2025-11-07 04:40:55",1762490455532,"mythos-wesite-7-11-2025-52bygah0u-michaels-projects-d2b4ed14.vercel.app/","GET","",-1,"kwblj-1762490455208-768a409c8221","vercel-screenshot/1.0","fatal","production","master","","lambda","/main","mythos-wesite-7-11-2025-52bygah0u-michaels-projects-d2b4ed14.vercel.app","mythos-wesite-7-11-2025-52bygah0u-michaels-projects-d2b4ed14.vercel.app","dpl_H9z4Ld1A3jBFGzeVLHaqb23gA2mh",-1,"iad1",-1,-1,"Python process exited with exit status: 1. The logs above can help with debugging the issue.","prj_JPcyf4eUk5AfYV2KYipClkdSpxqO","","","01K9E9W59SRBAVE9W73AKTFW6X","",-1
"2025-11-07 04:40:55",1762490455353,"mythos-wesite-7-11-2025-52bygah0u-michaels-projects-d2b4ed14.vercel.app/","GET","",500,"kwblj-1762490455208-768a409c8221","vercel-screenshot/1.0","error","production","master","","lambda","/main","mythos-wesite-7-11-2025-52bygah0u-michaels-projects-d2b4ed14.vercel.app","mythos-wesite-7-11-2025-52bygah0u-michaels-projects-d2b4ed14.vercel.app","dpl_H9z4Ld1A3jBFGzeVLHaqb23gA2mh",163,"iad1",53,2048,"","prj_JPcyf4eUk5AfYV2KYipClkdSpxqO","","","01K9E9W59SRBAVE9W73AKTFW6X","",1
"2025-11-07 04:40:55",1762490455316,"mythos-wesite-7-11-2025-52bygah0u-michaels-projects-d2b4ed14.vercel.app/favicon.ico","GET","",-1,"g952x-1762490454973-bb82fc155206","vercel-screenshot/1.0","fatal","production","master","","lambda","/main","mythos-wesite-7-11-2025-52bygah0u-michaels-projects-d2b4ed14.vercel.app","mythos-wesite-7-11-2025-52bygah0u-michaels-projects-d2b4ed14.vercel.app","dpl_H9z4Ld1A3jBFGzeVLHaqb23gA2mh",-1,"iad1",-1,-1,"Python process exited with exit status: 1. The logs above can help with debugging the issue.","prj_JPcyf4eUk5AfYV2KYipClkdSpxqO","","","01K9E9W52ED7WZD2845P59SRVR","",-1
"2025-11-07 04:40:55",1762490455118,"mythos-wesite-7-11-2025-52bygah0u-michaels-projects-d2b4ed14.vercel.app/favicon.ico","GET","",500,"g952x-1762490454973-bb82fc155206","vercel-screenshot/1.0","error","production","master","","lambda","/main","mythos-wesite-7-11-2025-52bygah0u-michaels-projects-d2b4ed14.vercel.app","mythos-wesite-7-11-2025-52bygah0u-michaels-projects-d2b4ed14.vercel.app","dpl_H9z4Ld1A3jBFGzeVLHaqb23gA2mh",179,"iad1",53,2048,"","prj_JPcyf4eUk5AfYV2KYipClkdSpxqO","","","01K9E9W52ED7WZD2845P59SRVR","",1
"2025-11-07 04:40:55",1762490455084,"mythos-wesite-7-11-2025-52bygah0u-michaels-projects-d2b4ed14.vercel.app/","GET","",-1,"9m8l5-1762490453985-973d0b1e6c1d","vercel-screenshot/1.0","fatal","production","master","","lambda","/main","mythos-wesite-7-11-2025-52bygah0u-michaels-projects-d2b4ed14.vercel.app","mythos-wesite-7-11-2025-52bygah0u-michaels-projects-d2b4ed14.vercel.app","dpl_H9z4Ld1A3jBFGzeVLHaqb23gA2mh",-1,"iad1",-1,-1,"Python process exited with exit status: 1. The logs above can help with debugging the issue.
Python process exited with exit status: 1. The logs above can help with debugging the issue.","prj_JPcyf4eUk5AfYV2KYipClkdSpxqO","","","01K9E9W48P7N46JH3AR7QQA3QH","",-1
"2025-11-07 04:40:54",1762490454910,"mythos-wesite-7-11-2025-52bygah0u-michaels-projects-d2b4ed14.vercel.app/","GET","",-1,"47w5z-1762490454581-ad2762852b79","vercel-screenshot/1.0","fatal","production","master","","lambda","/main","mythos-wesite-7-11-2025-52bygah0u-michaels-projects-d2b4ed14.vercel.app","mythos-wesite-7-11-2025-52bygah0u-michaels-projects-d2b4ed14.vercel.app","dpl_H9z4Ld1A3jBFGzeVLHaqb23gA2mh",-1,"iad1",-1,-1,"Python process exited with exit status: 1. The logs above can help with debugging the issue.","prj_JPcyf4eUk5AfYV2KYipClkdSpxqO","","","01K9E9W4P8TD1EKQXJ6927P5ZS","",-1
"2025-11-07 04:40:54",1762490454728,"mythos-wesite-7-11-2025-52bygah0u-michaels-projects-d2b4ed14.vercel.app/","GET","",500,"47w5z-1762490454581-ad2762852b79","vercel-screenshot/1.0","error","production","master","","lambda","/main","mythos-wesite-7-11-2025-52bygah0u-michaels-projects-d2b4ed14.vercel.app","mythos-wesite-7-11-2025-52bygah0u-michaels-projects-d2b4ed14.vercel.app","dpl_H9z4Ld1A3jBFGzeVLHaqb23gA2mh",165,"iad1",53,2048,"","prj_JPcyf4eUk5AfYV2KYipClkdSpxqO","","","01K9E9W4P8TD1EKQXJ6927P5ZS","",1
"2025-11-07 04:40:54",1762490454478,"mythos-wesite-7-11-2025-52bygah0u-michaels-projects-d2b4ed14.vercel.app/","GET","",-1,"tqlgz-1762490453915-3157a3357913","vercel-screenshot/1.0","fatal","production","master","","lambda","/main","mythos-wesite-7-11-2025-52bygah0u-michaels-projects-d2b4ed14.vercel.app","mythos-wesite-7-11-2025-52bygah0u-michaels-projects-d2b4ed14.vercel.app","dpl_H9z4Ld1A3jBFGzeVLHaqb23gA2mh",-1,"iad1",-1,-1,"Python process exited with exit status: 1. The logs above can help with debugging the issue.","prj_JPcyf4eUk5AfYV2KYipClkdSpxqO","","","01K9E9W48QAHJDFE4PBX07SP7G","",-1
"2025-11-07 04:40:54",1762490454295,"mythos-wesite-7-11-2025-52bygah0u-michaels-projects-d2b4ed14.vercel.app/","GET","",500,"tqlgz-1762490453915-3157a3357913","vercel-screenshot/1.0","error","production","master","","lambda","/main","mythos-wesite-7-11-2025-52bygah0u-michaels-projects-d2b4ed14.vercel.app","mythos-wesite-7-11-2025-52bygah0u-michaels-projects-d2b4ed14.vercel.app","dpl_H9z4Ld1A3jBFGzeVLHaqb23gA2mh",170,"iad1",53,2048,"","prj_JPcyf4eUk5AfYV2KYipClkdSpxqO","","","01K9E9W48QAHJDFE4PBX07SP7G","",1
"2025-11-07 04:40:54",1762490454294,"mythos-wesite-7-11-2025-52bygah0u-michaels-projects-d2b4ed14.vercel.app/","GET","",500,"9m8l5-1762490453985-973d0b1e6c1d","vercel-screenshot/1.0","error","production","master","","lambda","/main","mythos-wesite-7-11-2025-52bygah0u-michaels-projects-d2b4ed14.vercel.app","mythos-wesite-7-11-2025-52bygah0u-michaels-projects-d2b4ed14.vercel.app","dpl_H9z4Ld1A3jBFGzeVLHaqb23gA2mh",174,"iad1",53,2048,"","prj_JPcyf4eUk5AfYV2KYipClkdSpxqO","","","01K9E9W48P7N46JH3AR7QQA3QH","",1
